Designator,Mid X,Mid Y,Layer,Rotation
J5,34.848194,-60.639418,T,0.0
J5,34.848194,-26.556583,T,0.0
J5,12.843359,-94.722253,T,0.0
J5,34.848194,-94.722253,T,0.0
J5,78.857864,-60.639418,T,0.0
J5,56.853029,-94.722253,T,0.0
J6,16.653359,-26.556583,T,0.0
J6,82.667864,-94.722253,T,0.0
J6,82.667864,-26.556583,T,0.0
J6,16.653359,-60.639418,T,0.0
J6,38.658194,-26.556583,T,0.0
J6,60.663029,-26.556583,T,0.0
J6,82.667864,-60.639418,T,0.0
J6,60.663029,-60.639418,T,0.0
J6,38.658194,-94.722253,T,0.0
J6,16.653359,-94.722253,T,0.0
J6,60.663029,-94.722253,T,0.0
J6,38.658194,-60.639418,T,0.0
J7,86.477864,-26.556583,T,0.0
J7,64.473029,-26.556583,T,0.0
J7,42.468194,-26.556583,T,0.0
J7,42.468194,-60.639418,T,0.0
J7,20.463359,-94.722253,T,0.0
J7,86.477864,-94.722253,T,0.0
J7,64.473029,-60.639418,T,0.0
J7,64.473029,-94.722253,T,0.0
J7,42.468194,-94.722253,T,0.0
J7,86.477864,-60.639418,T,0.0
J7,20.463359,-60.639418,T,0.0
J7,20.463359,-26.556583,T,0.0
R1,30.530194,-17.692083,B,270.0
R1,74.539864,-85.857753,B,270.0
R1,8.525359,-51.774918,B,270.0
R1,74.539864,-51.774918,B,270.0
R1,30.530194,-85.857753,B,270.0
R1,8.525359,-85.857753,B,270.0
R1,30.530194,-51.774918,B,270.0
R1,74.539864,-17.692083,B,270.0
R1,52.535029,-51.774918,B,270.0
R1,8.525359,-17.692083,B,270.0
R1,52.535029,-17.692083,B,270.0
R1,52.535029,-85.857753,B,270.0
R2,88.317864,-78.242253,B,270.0
R2,22.303359,-10.076583,B,270.0
R2,22.303359,-78.242253,B,270.0
R2,66.313029,-10.076583,B,270.0
R2,66.313029,-78.242253,B,270.0
R2,44.308194,-10.076583,B,270.0
R2,44.308194,-78.242253,B,270.0
R2,22.303359,-44.159418,B,270.0
R2,88.317864,-10.076583,B,270.0
R2,44.308194,-44.159418,B,270.0
R2,66.313029,-44.159418,B,270.0
R2,88.317864,-44.159418,B,270.0
R3,10.303359,-21.032083,B,90.0
R3,10.303359,-89.197753,B,90.0
R3,76.317864,-89.197753,B,90.0
R3,54.313029,-89.197753,B,90.0
R3,54.313029,-55.114918,B,90.0
R3,32.308194,-21.032083,B,90.0
R3,32.308194,-55.114918,B,90.0
R3,76.317864,-21.032083,B,90.0
R3,54.313029,-21.032083,B,90.0
R3,76.317864,-55.114918,B,90.0
R3,32.308194,-89.197753,B,90.0
R3,10.303359,-55.114918,B,90.0
R4,52.535029,-55.305418,B,90.0
R4,8.525359,-89.388253,B,90.0
R4,8.525359,-55.305418,B,90.0
R4,52.535029,-21.222583,B,90.0
R4,30.530194,-89.388253,B,90.0
R4,74.539864,-89.388253,B,90.0
R4,52.535029,-89.388253,B,90.0
R4,30.530194,-21.222583,B,90.0
R4,74.539864,-21.222583,B,90.0
R4,8.525359,-21.222583,B,90.0
R4,30.530194,-55.305418,B,90.0
R4,74.539864,-55.305418,B,90.0
R5,21.103359,-86.942253,B,180.0
R5,21.103359,-52.859418,B,180.0
R5,43.108194,-52.859418,B,180.0
R5,65.113029,-18.776583,B,180.0
R5,65.113029,-52.859418,B,180.0
R5,87.117864,-18.776583,B,180.0
